ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|AUSTRALIA (COMMONWEALTH OF) RegS|ACGB|AU000XCLWAI8||Australia|4214000|3464|4776|AUD|ISHGLTSY|3/19/2014|
12/30/2021|NORWAY (KINGDOM OF)|NGB|NO0010821598||Norway|29023000|3404|29978|NOK|ISHGLTSY|4/26/2018|
12/30/2021|FRANCE (REPUBLIC OF)       RegS|FRTR|FR0010773192||France|1724000|3396|2997|EUR|ISHGLTSY|6/30/2009|
12/30/2021|FINLAND (REPUBLIC OF)|RFGB|FI4000278551||Finland|2859000|3387|2989|EUR|ISHGLTSY|9/6/2017|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0010071189||Netherlands|2301621|3382|2985|EUR|ISHGLTSY|3/9/2012|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0011220108||Netherlands|2892300|3365|2970|EUR|ISHGLTSY|3/26/2015|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG31A8000003||Singapore|4371000|3354|4536|SGD|ISHGLTSY|6/1/2016|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG3260987684||Singapore|4400000|3352|4533|SGD|ISHGLTSY|7/1/2013|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087L443|135087L44|Canada|4629000|3345|4277|CAD|ISHGLTSY|10/5/2020|
12/30/2021|IRELAND (REPUBLIC OF)      RegS|IRISH|IE00BDHDPR44||Ireland|2762940|3342|2949|EUR|ISHGLTSY|1/10/2018|
12/30/2021|AUSTRALIA (COMMONWEALTH OF) RegS|ACGB|AU0000013740||Australia|4289000|3341|4606|AUD|ISHGLTSY|6/13/2018|
12/30/2021|FINLAND (REPUBLIC OF)|RFGB|FI4000369467||Finland|2810000|3334|2943|EUR|ISHGLTSY|2/12/2019|
12/30/2021|IRELAND (GOVERNMENT)       RegS|IRISH|IE00BMQ5JL65||Ireland|3002000|3309|2920|EUR|ISHGLTSY|1/12/2021|
12/30/2021|AUSTRALIA (COMMONWEALTH OF) RegS|ACGB|AU3TB0000150||Australia|4032000|3291|4537|AUD|ISHGLTSY|10/17/2012|
12/30/2021|IRELAND (REPUBLIC OF)      RegS|IRISH|IE00BFZRQ242||Ireland|2586000|3287|2900|EUR|ISHGLTSY|10/17/2018|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011355570||Israel|9562000|3257|10115|ILS|ISHGLTSY|5/6/2015|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0014555419||Netherlands|2839000|3246|2864|EUR|ISHGLTSY|3/12/2020|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0000102317||Netherlands|2033100|3244|2863|EUR|ISHGLTSY|1/15/1998|
12/30/2021|FRANCE (REPUBLIC OF)       RegS|FRTR|FR0000187635||France|1778035|3236|2856|EUR|ISHGLTSY|6/12/2001|
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009924292||Denmark|20855000|3219|21123|DKK|ISHGLTSY|5/7/2021|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG3263998209||Singapore|3984000|3200|4328|SGD|ISHGLTSY|7/1/2014|
12/30/2021|AUSTRIA (REPUBLIC OF)|RAGB|AT0000A1K9C8||Austria|2594000|3099|2735|EUR|ISHGLTSY|2/23/2016|
12/30/2021|FRANCE (REPUBLIC OF)       RegS|FRTR|FR0011883966||France|2218000|3077|2715|EUR|ISHGLTSY|5/6/2014|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG3261987691||Singapore|3552000|3069|4150|SGD|ISHGLTSY|9/2/2013|
12/30/2021|FRANCE (REPUBLIC OF)       RegS|FRTR|FR0013451507||France|2704000|3065|2705|EUR|ISHGLTSY|10/7/2019|
