,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,BMARK_18-B4  ASB,BMARK_18-B4-ASB,US08161HAD26,,United States,464286,506,506,USD,ISHCMBS,7/1/2018,
12/30/2021,CD_18-CD7  ASB,CD_18-CD7-ASB,US12512JAT16,,United States,550000,600,600,USD,ISHCMBS,8/1/2018,
12/30/2021,GSMS_17-GS7   A3,GSMS_17-GS7-A3,US36254CAU45,,United States,1000000,1054,1054,USD,ISHCMBS,8/1/2017,
12/30/2021,BMARK_18-B1   A5,BMARK_18-B1-A5,US08162PAX96,,United States,1000000,1092,1092,USD,ISHCMBS,1/1/2018,
12/30/2021,CGCMT_16-C1   A4,CGCMT_16-C1-A4,US17290YAR99,,United States,2374000,2507,2507,USD,ISHCMBS,5/1/2016,
12/30/2021,FHMS_K057   A2,FHMS_K057-A2,US3137BRQJ72,,United States,1725000,1809,1809,USD,ISHCMBS,9/1/2016,
12/30/2021,SGCMS_16-C5   A4,SGCMS_16-C5-A4,US78419CAD65,,United States,1000000,1040,1040,USD,ISHCMBS,7/1/2016,
12/30/2021,FHMS_K089   A1,FHMS_K089-A1,US3137FL6N97,,United States,3243491,3501,3501,USD,ISHCMBS,3/1/2019,
12/30/2021,FHMS_K088   A1,FHMS_K088_A1,US3137FKZ825,,United States,340899,369,369,USD,ISHCMBS,3/1/2019,
12/30/2021,JPMCC_16-JP2   A4,JPMCC_16-JP2-A4,US46590MAR16,,United States,1023000,1065,1065,USD,ISHCMBS,7/1/2016,
12/30/2021,WFCM_16-C35   A4,WFCM_16-C35-A4,US95000FAT30,,United States,1000000,1043,1043,USD,ISHCMBS,7/1/2016,
12/30/2021,WFCM_18-C47  ASB,WFCM_18-C47-ASB,US95002DBA63,95002DBA6,United States,1625000,1799,1799,USD,ISHCMBS,10/1/2018,
12/30/2021,CGCMT_16-P4   A4,CGCMT_16-P4-A4,US29429EAD31,,United States,1729000,1805,1805,USD,ISHCMBS,7/1/2016,
12/30/2021,WFCM_17-C38   A4,WFCM_17-C38- A4,US95001MAE03,,United States,500000,528,528,USD,ISHCMBS,7/1/2017,
12/30/2021,JPMCC_19-COR4    ASB,JPMCC_19-COR4-AS,US48128YAX94,,United States,1000000,1088,1088,USD,ISHCMBS,2/1/2019,
12/30/2021,BACM_17-BNK3   A3,BACM_17-BNK3-A-3,US06427DAR44,,United States,1365000,1449,1449,USD,ISHCMBS,2/1/2017,
12/30/2021,MSBAM_16-C30   A5,MSBAM_16-C30-A5,US61766NBB01,,United States,500000,521,521,USD,ISHCMBS,9/1/2016,
12/30/2021,CGCMT_16-C2   A4,CGCMT_16-C2-A4,US17291CBR51,,United States,1000000,1042,1042,USD,ISHCMBS,8/1/2016,
12/30/2021,FHMS_K059   A2,FHMS_K059-A2,US3137BSRE59,,United States,3280000,3523,3523,USD,ISHCMBS,11/1/2016,
12/30/2021,MSC_21-L6   A2 144A,MSC_21-L6-A2,US61692CAX65,61692CAX6,United States,1500000,1508,1508,USD,ISHCMBS,7/1/2021,
12/30/2021,WFCM_16-LC24   A4,WFCM_16-LC24-A4,US95000HBF82,,United States,1680000,1765,1765,USD,ISHCMBS,9/1/2016,
12/30/2021,MSC_16-UB11   A4,MSC_16-UB11-A4,US61767FBA84,,United States,1000000,1037,1037,USD,ISHCMBS,8/1/2016,
12/30/2021,FHMS K058  A-2,FHMS_K058 A2,US3137BSP729,,United States,1527000,1609,1609,USD,ISHCMBS,11/1/2016,
12/30/2021,MSBAM_16-C31   A5,MSBAM_16-C31-A5,US61766RAZ91,,United States,2250000,2353,2353,USD,ISHCMBS,11/1/2016,
12/30/2021,MSC_16-BNK2   A4,MSC_16-BNK2-A4,US61690YBU55,,United States,1250000,1321,1321,USD,ISHCMBS,11/1/2016,
12/30/2021,CGCMT_16-C3   A4,CGCMT_16-C3-A4,US17325GAD88,,United States,1466090,1549,1549,USD,ISHCMBS,11/1/2016,
12/30/2021,BNK_20-BN25   A3,BNK_20-BN25-A3,US06539WAY21,,United States,1000000,1010,1010,USD,ISHCMBS,2/1/2020,
12/30/2021,GSMS_16-GS4   A4,GSMS_16-GS4-A4,US36251XAR89,,United States,39000,42,42,USD,ISHCMBS,11/1/2016,
12/30/2021,MSC_16-UB12   A4,MSC_16-UB12-A4,US61691EBA29,,United States,1500000,1615,1615,USD,ISHCMBS,12/1/2016,
12/30/2021,FHMS_K061   A2,FHMS_K061-A2,US3137BTUM12,,United States,1300000,1413,1413,USD,ISHCMBS,1/1/2017,
12/30/2021,FHMS_K060   A2,FHMS_K060-A2,US3137BTAC59,,United States,2796496,3033,3033,USD,ISHCMBS,12/1/2016,
12/30/2021,JPMCC_16-JP4   A4,JPMCC_16-JP4-A4,US46645UAT43,,United States,1090000,1179,1179,USD,ISHCMBS,12/1/2016,
12/30/2021,GSMS_16-GS3   A4,GSMS_16-GS3-A4,US36251PAD69,,United States,780000,812,812,USD,ISHCMBS,9/1/2016,
12/30/2021,MSBAM_16-C32   A4,MSBAM_16-C32-A4,US61691GAS93,,United States,1000000,1082,1082,USD,ISHCMBS,12/1/2016,
12/30/2021,BACM_17-BNK3   A4,BACM_17-BNK3-A4,US06427DAS27,,United States,1000000,1083,1083,USD,ISHCMBS,2/1/2017,
12/30/2021,FHMS_K155   A1,FHMS_K155-A1,US3137FG6R10,,United States,488103,540,540,USD,ISHCMBS,6/1/2018,
12/30/2021,FHMS_K737   AM,FHMS_K737-AM,US3137FQXK44,,United States,300000,308,308,USD,ISHCMBS,1/1/2020,
12/30/2021,FHMS_K062   A2,FHMS_K062-A2,US3137BUX604,,United States,1000000,1091,1091,USD,ISHCMBS,2/1/2017,
12/30/2021,FHMS_K063   A2,FHMS_K063-A2,US3137BVZ821,,United States,1345000,1468,1468,USD,ISHCMBS,3/1/2017,
12/30/2021,CD_17-CD3   A4,CD_17-CD3-A4,US12515GAD97,,United States,230000,248,248,USD,ISHCMBS,2/1/2017,
12/30/2021,JPMDB_17-C5   A5,JPMDB_17-C5-A5,US46590TAE55,,United States,2100000,2274,2274,USD,ISHCMBS,3/1/2017,
12/30/2021,BBCMS_17-C1   A4,BBCMS_17-C1-A4,US07332VBD64,,United States,2000000,2164,2164,USD,ISHCMBS,2/1/2017,
12/30/2021,JPMCC_17-JP5   A5,JPMCC_17-JP5-A5,US46647TAS78,,United States,1300000,1415,1415,USD,ISHCMBS,3/1/2017,
12/30/2021,FHLMC_K102   A1,FHLMC_K102-A1,US3137FQKB81,3137FQKB8,United States,967263,999,999,USD,ISHCMBS,12/1/2019,
12/30/2021,FHMS_K064   A2,FHMS_K064-A2,US3137BXQY18,,United States,325000,352,352,USD,ISHCMBS,5/1/2017,
12/30/2021,BANK_17-BNK5   A4,BANK_17-BNK5-A4,US06541WAW29,,United States,1960000,2072,2072,USD,ISHCMBS,6/1/2017,
12/30/2021,CD_17-CD4   A4,CD_17-CD4-A4,US12515DAR52,,United States,1000000,1076,1076,USD,ISHCMBS,5/1/2017,
12/30/2021,BANK_17-BNK4   A4,BANK_17-BNK4-A4,US06541FBA66,06541FBA6,United States,1000000,1087,1087,USD,ISHCMBS,4/1/2017,
12/30/2021,FHMS_K159   A1,FHMS_K159 -A1,US3137FKKM76,,United States,1542436,1720,1720,USD,ISHCMBS,12/1/2018,
12/30/2021,FHMS_K065   A2,FHMS_K065-A2,US3137F1G447,,United States,2570000,2793,2793,USD,ISHCMBS,7/1/2017,
12/30/2021,JPMCC_17-JP6   A5,JPMCC_17-JP6-A5,US48128KAU51,,United States,300000,323,323,USD,ISHCMBS,6/1/2017,
12/30/2021,MSBAM_17-C33   A5,MSBAM_17-C33-A5,US61767CAV00,,United States,1100000,1191,1191,USD,ISHCMBS,5/1/2017,
12/30/2021,BANK_17-BNK8   A3,BANK_17-BNK8-A3,US06650AAD90,,United States,1000000,1064,1064,USD,ISHCMBS,11/1/2017,
12/30/2021,BMARK_18-B8   A4,BMARK_18-B8-A4,US08162UAV26,08162UAV2,United States,2000000,2191,2191,USD,ISHCMBS,12/1/2018,
12/30/2021,CSAIL_17-CX9   A5,CSAIL_17-CX9-A5,US12595FAE25,,United States,1000000,1071,1071,USD,ISHCMBS,9/1/2017,
12/30/2021,FHMS_K066   A2,FHMS_K066-A2,US3137F2LJ39,,United States,1610000,1741,1741,USD,ISHCMBS,8/1/2017,
12/30/2021,MSC_17-H1   A5,MSC_17-H1-A5,US61691JAV61,,United States,1000000,1080,1080,USD,ISHCMBS,6/1/2017,
12/30/2021,CGCMT_17-P8   A3,CGCMT_17-P8-A3,US17326DAC65,,United States,885000,939,939,USD,ISHCMBS,9/1/2017,
12/30/2021,WFCM_17-C38   A5,WFCM_17-C38-A5,US95001MAF77,,United States,2000000,2161,2161,USD,ISHCMBS,7/1/2017,
12/30/2021,BANK_19-BN24  ASB,BANK_19-BN24-ASB,US06540VBA26,,United States,1000000,1049,1049,USD,ISHCMBS,12/1/2019,
12/30/2021,UBSCM_17-C2   A4,UBSCM_17-C2-A4,US90276CAE12,,United States,1000000,1075,1075,USD,ISHCMBS,8/1/2017,
12/30/2021,CD_17-CD5   A4,CD_17-CD5-A4,US12515HAZ82,,United States,750000,806,806,USD,ISHCMBS,8/1/2017,
12/30/2021,BANK_17-BNK7   A5,BANK_17-BNK7-A5,US06541XAF78,,United States,220000,238,238,USD,ISHCMBS,9/1/2017,
12/30/2021,FHMS_K067   A2,FHMS_K067-A2,US3137FAWS37,,United States,1600000,1740,1740,USD,ISHCMBS,9/1/2017,
12/30/2021,FHMS_K739   A2,FHMS_K739-A2,US3137F64P90,,United States,2150000,2133,2133,USD,ISHCMBS,11/1/2020,
12/30/2021,JPMCC_17-JP7   A5,JPMCC_17-JP7-A5,US465968AE58,,United States,1000000,1078,1078,USD,ISHCMBS,7/1/2017,
12/30/2021,WFCM_17-C39   A5,WFCM_17-C39-A5,US95000XAF42,,United States,2500000,2698,2698,USD,ISHCMBS,8/1/2017,
12/30/2021,BMARK_18-B2   A4,BMARK_18-B2-A4,US08161CAD39,,United States,1350000,1466,1466,USD,ISHCMBS,2/1/2018,
