,ASOF_DATE,NAME,TICKER,ISIN,CUSIP,COUNTRY,POSITION_AMOUNT,MARKET_VALUE_IN_THOUSANDS,LOCAL_MARKET_VALUE_IN_THOUSANDS,CURRENCY,PORTFOLIO_TICKER,Issue_Date
12/30/2021,ADANI ABBOT POINT TERMINAL PTY LTD 144A,ADAABB,US00653GAB05,00653GAB0,Australia,620000,598,598,USD,ISHHYDB,12/11/2017,
12/30/2021,ASTON MARTIN CAPITAL HOLDINGS LTD 144A,ASTONM,US04625HAG48,04625HAG4,"Jersey, Channel Islands",1291000,1442,1442,USD,ISHHYDB,11/16/2020,
12/30/2021,AMS AG     144A,AMSSW,US03217CAA45,03217CAA4,Austria,550000,596,596,USD,ISHHYDB,7/6/2020,
12/30/2021,BROOKFIELD RESIDENTIAL PROPERTIES 144A,BRPCN,US11283YAB65,,Canada,750000,799,799,USD,ISHHYDB,9/23/2019,
12/30/2021,BOMBARDIER INC             144A,BBDBCN,US097751BM26,,Canada,1090000,1133,1133,USD,ISHHYDB,3/13/2015,
12/30/2021,BOMBARDIER INC             144A,BBDBCN,US097751BT78,097751BT7,Canada,1050000,1101,1101,USD,ISHHYDB,3/7/2019,
12/30/2021,BAUSCH HEALTH COMPANIES INC 144A,BHCCN,US91911KAP75,91911KAP7,United States,835000,879,879,USD,ISHHYDB,12/18/2017,
12/30/2021,BAUSCH HEALTH COMPANIES INC 144A,BHCCN,US071734AF49,071734AF4,United States,1000000,999,999,USD,ISHHYDB,5/23/2019,
12/30/2021,BAUSCH HEALTH COMPANIES INC 144A,BHCCN,US071734AJ60,071734AJ6,United States,15000,14,14,USD,ISHHYDB,12/30/2019,
12/30/2021,BAUSCH HEALTH COMPANIES INC 144A,BHCCN,US071734AL17,071734AL1,Canada,415000,373,373,USD,ISHHYDB,12/3/2020,
12/30/2021,BRF GMBH   144A,BRFSBZ,US05583BAA70,05583BAA7,Brazil,500000,510,510,USD,ISHHYDB,9/29/2016,
12/30/2021,CARNIVAL CORP              144A,CCL,US143658BG61,143658BG6,United States,850000,1002,1002,USD,ISHHYDB,7/20/2020,
12/30/2021,CARNIVAL CORP              144A,CCL,US143658BL56,143658BL5,United States,1015000,1077,1077,USD,ISHHYDB,11/25/2020,
12/30/2021,CARNIVAL CORP              144A,CCL,US143658BJ01,,United States,565000,663,663,USD,ISHHYDB,8/18/2020,
12/30/2021,CIMPRESS PLC               144A,CMPR,US17186HAC60,,Ireland,770000,807,807,USD,ISHHYDB,6/15/2018,
12/30/2021,ENDEAVOUR MINING PLC       144A,EDVLN,US29261HAA32,29261HAA3,Burkina Faso,715000,715,715,USD,ISHHYDB,10/14/2021,
12/30/2021,ELDORADO GOLD CORPORATION  144A,ELDCN,US284902AF02,284902AF0,Turkey,680000,706,706,USD,ISHHYDB,8/26/2021,
12/30/2021,ENDO LUXEMBOURG FINANCE COMPANY I 144A,ENDP,US29280BAA35,29280BAA3,United States,625000,619,619,USD,ISHHYDB,3/25/2021,
12/30/2021,FIRST QUANTUM MINERALS LTD 144A,FMCN,US335934AL97,,Canada,1280000,1340,1340,USD,ISHHYDB,3/22/2017,
12/30/2021,FIRST QUANTUM MINERALS LTD 144A,FMCN,US335934AR67,,Zambia,730000,775,775,USD,ISHHYDB,2/27/2018,
12/30/2021,FMG RESOURCES (AUGUST 2006) PTY LT 144A,FMGAU,US30251GAW78,30251GAW7,Australia,830000,885,885,USD,ISHHYDB,5/12/2017,
12/30/2021,GFL ENVIRONMENTAL INC (ALBERTA) 144A,GFLCN,US36168QAF19,36168QAF1,Canada,500000,522,522,USD,ISHHYDB,12/16/2019,
12/30/2021,GFL ENVIRONMENTAL INC      144A,GFLCN,US36168QAM69,36168QAM6,Canada,1048000,1045,1045,USD,ISHHYDB,12/21/2020,
12/30/2021,HARBOUR ENERGY PLC         144A,HBRLN,US411618AB75,411618AB7,United Kingdom,680000,683,683,USD,ISHHYDB,10/18/2021,
12/30/2021,IAMGOLD CORP               144A,IMGCN,US450913AF55,450913AF5,Burkina Faso,615000,610,610,USD,ISHHYDB,9/23/2020,
12/30/2021,TELENET FINANCE LUX NOTE   144A,TNETBB,BE6300372289,AQ2322842,Belgium,1400000,1477,1477,USD,ISHHYDB,12/13/2017,
12/30/2021,UPC BROADBAND FINCO BV     144A,UPCB,US90320BAA70,90320BAA7,Netherlands,1355000,1420,1420,USD,ISHHYDB,4/21/2021,
12/30/2021,MINERAL RESOURCES LTD      144A,MINAU,US603051AA15,603051AA1,Australia,833000,910,910,USD,ISHHYDB,4/23/2019,
12/30/2021,NCL CORPORATION LTD        144A,NCLH,US62886HAR21,62886HAR2,United States,724000,865,865,USD,ISHHYDB,5/14/2020,
12/30/2021,NCL CORPORATION LTD        144A,NCLH,US62886HAY71,62886HAY7,United States,799000,963,963,USD,ISHHYDB,7/21/2020,
12/30/2021,UNIVERSAL ENTERTAINMENT CORP 144A,UETMF,US91349WAB46,,Japan,805000,852,852,USD,ISHHYDB,10/29/2020,
12/30/2021,ROYAL CARIBBEAN CRUISES LTD 144A,RCL,US780153AY85,780153AY8,United States,1200000,1379,1379,USD,ISHHYDB,5/19/2020,
12/30/2021,ROYAL CARIBBEAN CRUISES LTD 144A,RCL,US780153BC56,780153BC5,United States,610000,647,647,USD,ISHHYDB,6/9/2020,
12/30/2021,ROYAL CARIBBEAN CRUISES LTD 144A,RCL,US780153AZ50,780153AZ5,United States,110000,129,129,USD,ISHHYDB,5/19/2020,
12/30/2021,ROYAL CARIBBEAN CRUISES LTD 144A,RCL,US780153BJ00,780153BJ0,United States,125000,129,129,USD,ISHHYDB,8/19/2021,
12/30/2021,SENSATA TECHNOLOGIES BV    144A,ST,US81725WAG87,81725WAG8,Netherlands,505000,535,535,USD,ISHHYDB,4/17/2013,
12/30/2021,TRANSDIGM UK HOLDINGS PLC,TDG,US89365DAB91,89365DAB9,United States,250000,264,264,USD,ISHHYDB,5/9/2019,
12/30/2021,TELESAT CANADA             144A,TELSAT,US87952VAR78,,Canada,640000,604,604,USD,ISHHYDB,4/27/2021,
12/30/2021,TELESAT CANADA             144A,TELSAT,US87952VAP13,87952VAP1,Canada,322000,286,286,USD,ISHHYDB,12/6/2019,
12/30/2021,TELESAT CANADA             144A,TELSAT,US87952VAM81,87952VAM8,Canada,745000,589,589,USD,ISHHYDB,10/11/2019,
12/30/2021,TRINSEO MATERIALS OPERATING SCA 144A,TSE,US89668QAE89,89668QAE8,United States,595000,611,611,USD,ISHHYDB,8/29/2017,
12/30/2021,TRINSEO MATERIALS OPERATING SCA 144A,TSE,US89668QAF54,89668QAF5,United States,600000,624,624,USD,ISHHYDB,3/24/2021,
12/30/2021,JAGUAR LAND ROVER AUTOMOTIVE PLC 144A,TTMTIN,US47010BAJ35,47010BAJ3,United Kingdom,200000,220,220,USD,ISHHYDB,10/13/2020,
12/30/2021,JAGUAR LAND ROVER AUTOMOTIVE PLC 144A,TTMTIN,US47010BAF13,47010BAF1,United Kingdom,765000,751,751,USD,ISHHYDB,10/10/2017,
12/30/2021,JAGUAR LAND ROVER AUTOMOTIVE PLC 144A,TTMTIN,US47010BAK08,47010BAK0,United Kingdom,135000,141,141,USD,ISHHYDB,12/11/2020,
12/30/2021,JAGUAR LAND ROVER AUTOMOTIVE PLC 144A,TTMTIN,US47010BAM63,47010BAM6,United Kingdom,675000,693,693,USD,ISHHYDB,7/14/2021,
12/30/2021,DRAX FINCO PLC             144A,DRXLN,US26151AAA79,26151AAA7,United Kingdom,621000,647,647,USD,ISHHYDB,4/26/2018,
12/30/2021,USD CASH,USD,,,United States,-20551,-21,-21,USD,ISHHYDB,1/1/1989,
12/30/2021,BLK CSH FND TREASURY SL AGENCY,XTSLA,US0669224778,066922477,United States,2910000,2910,2910,USD,ISHHYDB,2/4/2009,
